"sku","age","gender","size","dimension"
"R2B-FU-8-PLUIE",,"女","Size 8","鞋內墊約16.5cm"
"RC-FP-1-PLUIE","1-3歲","女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-FP-2-PLUIE","2-4歲 ","女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-FP-4-PLUIE","4-6歲","女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-FP-6-PLUIE",,"女","Size 6","雨鞋內墊約14.5cm"
"RU-FP-PLUIE","1-6歲","女","1-6歲","One-size (傘架長度約48cm)"
"RC-CD-1-PLUIE","1-3歲","女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-CD-2-PLUIE","2-4歲 ","女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-CD-4-PLUIE","4-6歲","女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-CD-6-PLUIE",,"女","Size 6","雨鞋內墊約14.5cm"
"RB-CD-8-PLUIE",,"女","Size 8","鞋內墊約16.5cm"
"RU-CD-PLUIE","1-6歲","女","1-6歲","One-size (傘架長度約48cm)"
"RC-CC-1-PLUIE","1-3歲","男","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-CC-2-PLUIE","2-4歲 ","男","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-CC-4-PLUIE","4-6歲","男","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-CC-6-PLUIE",,"男","Size 6","雨鞋內墊約14.5cm"
"RB-CC-8-PLUIE",,"男","Size 8","雨鞋內墊約16.5cm"
"RB-CC-10-PLUIE",,"男","Size 10","雨鞋內墊約18.5cm"
"RU-CC-PLUIE","1-6歲","男","1-6歲","One-size (傘架長度約48cm)"
"RC-NB-1-PLUIE","1-3歲","男","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-NB-2-PLUIE","2-4歲 ","男","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-NB-4-PLUIE","4-6歲","男","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-NB-6-PLUIE",,"男","Size 6","雨鞋內墊約14.5cm"
"RB-NB-8-PLUIE",,"男","Size 8","雨鞋內墊約16.5cm"
"RB-NB-10-PLUIE",,"男","Size 10","雨鞋內墊約18.5cm"
"RU-NB-PLUIE","1-6歲","男","1-6歲","One-size (傘架長度約48cm)"
"RC-PD-1-PLUIE","1-3歲","女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-PD-2-PLUIE","2-4歲 ","女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-PD-4-PLUIE","4-6歲","女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-PD-6-PLUIE",,"女","Size 6","雨鞋內墊約14.5cm"
"RB-PD-8-PLUIE",,"女","Size 8","雨鞋內墊約16.5cm"
"RB-PD-10-PLUIE",,"女","Size 10","雨鞋內墊約18.5cm"
"RU-PD-PLUIE","1-6歲","女","1-6歲","One-size (傘架長度約48cm)"
"RC-GP-1-PLUIE","1-3歲","男,女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-GP-2-PLUIE","2-4歲 ","男,女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-GP-4-PLUIE","4-6歲","男,女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-GP-6-PLUIE",,"男,女","Size 6","雨鞋內墊約14.5cm"
"RB-GP-8-PLUIE",,"男,女","Size 8","雨鞋內墊約16.5cm"
"RB-GP-10-PLUIE",,"男,女","Size 10","雨鞋內墊約18.5cm"
"RU-GP-PLUIE","1-6歲","男,女","1-6歲","One-size (傘架長度約48cm)"
"RC-RK-1-PLUIE","1-3歲","男,女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"RC-RK-2-PLUIE","2-4歲 ","男,女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"RC-RK-4-PLUIE","4-6歲","男,女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"RB-RK-6-PLUIE",,"男,女","Size 6","雨鞋內墊約14.5cm"
"RB-RK-8-PLUIE",,"男,女","Size 8","雨鞋內墊約16.5cm"
"RB-RK-10-PLUIE",,"男,女","Size 10","雨鞋內墊約18.5cm"
"RU-RK-PLUIE","1-6歲","男,女","1-6歲","One-size (傘架長度約48cm)"
"R2C-NY-1-PLUIE","1-3歲","男,女","1-3歲","肩寬約28cm,總長約43cm,袖長約24cm"
"R2C-NY-2-PLUIE","2-4歲 ","男,女","2-4歲 ","肩寬約30cm,總長約48.5cm,袖長約28cm"
"R2C-NY-4-PLUIE","4-6歲","男,女","4-6歲","肩寬約32cm,總長約58cm,袖長約36cm"
"R2B-NY-6-PLUIE",,"男,女","Size 6","雨鞋內墊約14.5cm"
"R2B-NY-8-PLUIE",,"男,女","Size 8","雨鞋內墊約16.5cm"
"R2B-NY-10-PLUIE",,"男,女","Size 10","雨鞋內墊約18.5cm"
"R2U-NY-PLUIE","1-6歲","男,女","1-6歲","One-size (傘架長度約48cm)"
"RB-PS-6-PLUIE",,"女","Size 6","雨鞋內墊約14.5cm"
"RB-PS-8-PLUIE",,"女","Size 8","雨鞋內墊約16.5cm"
"CAD-walrus-3SP",,"男,女",,"約38 x 38 cm(含提帶) / 38 x 14 cm(袋身)"
"BOX-dragon-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BOX-pcock-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BOX-unicorn-3SP",,"男,女",,"約33 x 33 x 33 cm"
"BIN-bear-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"BIN-camel-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"BIN-Owl-3SP",,"男,女",,"高約44 cm / 直徑約43 cm"
"WCJ-NB-LORALIN","0-3個月","男,女","0-3個月",
"WCJ-3M-LORALIN"," 3-6個月","男,女"," 3-6個月",
"WCJ-6M-LORALIN"," 6-12個月","男,女"," 6-12個月",
"WCP-NB-LORALIN","0-3個月","男,女","0-3個月",
"WCP-3M-LORALIN","3-6個月","男,女","3-6個月",
"WCP-6M-LORALIN","6-12個月","男,女","6-12個月",
"BW-3M-LORALIN","3-6個月","男,女","3-6個月",
"BW-6M-LORALIN","6-12個月","男,女","6-12個月",
"BW-12M-LORALIN","12-18個月","男,女","12-18個月",
"BWR-3M-LORALIN","3-6個月","男,女","3-6個月",
"BWR-6M-LORALIN","6-12個月","男,女","6-12個月",
